Ubxn1	NM_001362044
Coq5	NM_026504
Serinc1	NM_019760
Chchd1	NM_025366
Gfm1	NM_138591
Ddx5	NM_001355676
Ctnnb1	NM_001165902
Rilpl1	NM_021430
Fermt2	NM_001360525
Pdlim7	NM_001114087
Naa50	NM_001347239
Sfr1	NM_026377
4833439L19Rik	NM_001252645
Mrps21	NM_001355759
Prkab2	NM_182997
Atp1b1	NM_009721
Pdk2	NM_001361915
Myo18b	NM_028901
Crat	NM_007760
Psmc5	NM_008950
Abcc9	NM_001044720
Ano5	NM_001271879
Mcl1	NM_008562
Nrep	NM_001109988
Prdx1	NM_011034
Rbm24	NM_001081425
Gyg	NM_001355261
Igfbp7	NM_001159518
Mrpl18	NM_026310
Mapkapk2	NM_008551
Eif4b	NM_145625
Fundc2	NM_026126
Mypn	NM_182992
Cwc15	NM_023153
Cct6a	NM_009838
Psmb6	NM_008946
Eif5a	NM_001166589
Ubxn2a	NM_145441
Vapa	NM_001355402
Rps15	NM_001310726
Oat	NM_016978
Ppp1ca	NM_031868
Ube2d1	NM_145420
Atp5h	NM_027862
Msi2	NM_001201341
Ensa	NM_001026212
Hnrnpa2b1	NM_001374745
Hdlbp	NM_001301364
Lmcd1	NM_144799
Coq10a	NM_001081040
Acat1	NM_144784
Ppp3r1	NM_024459
Vldlr	NM_001161420
Klf9	NM_010638
Pnrc1	NM_001033225
Calm2	NM_001355703
Rbfox1	NM_001359723
Egln1	NM_001363475
Eif5	NM_173363
Srp14	NM_009273
P4hb	NM_011032
Fam162a	NM_027342
Ppp1r12b	NM_001081307
Gpam	NM_001356285
Cct5	NM_001348035
Nampt	NM_021524
Macrod1	NM_001378919
Kcmf1	NM_001347231
Ppp3ca	NM_001293622
Kpna1	NM_001416718
Usp25	NM_013918
Stac3	NM_001359751
Tmem242	NM_027457
Stard7	NM_001362684
Ndufs6	NM_010888
Snta1	NM_009228
Camk2g	NM_001039138
Prkaa2	NM_001356568
Gbe1	NM_028803
Amotl1	NM_001081395
Atp5d	NM_001347092
Unc45b	NM_001415076
Syngr2	NM_009304
Col4a1	NM_009931
Hba-a1	NM_008218
Sar1a	NM_001358487
Tnks2	NM_001163635
